#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.kgXref.mRNA	mm10.kgXref.geneSymbol
uc008dmm.1	chr17	+	71552060	71578700	NM_001142631	Spdya
uc008dmo.2	chr17	+	71552060	71589533	NM_029254	Spdya
uc008dmp.2	chr17	-	71557026	71598761	NR_015549	Trmt61b
uc012awt.1	chr17	-	71557026	71598761	NR_027952	Trmt61b
uc012awu.1	chr17	-	71588514	71598281	NR_027953	Trmt61b
uc008dms.2	chr17	+	71616068	71659031	NM_175639	Wdr43
uc012awv.2	chr17	+	71631278	71631361	NR_028556	Snord92
uc012aww.2	chr17	+	71640888	71641658	NR_028551	Snord53
uc008dmt.1	chr17	+	71673260	71729669	NM_177087	Fam179a
uc008dmu.1	chr17	+	71686700	71729669	AK076284	Fam179a
uc008dmv.1	chr17	-	71743554	71752885	NM_146082	BC027072
uc008dmw.2	chr17	+	71769690	71803952	AK018895	Clip4
uc012awx.1	chr17	+	71769690	71850164	NM_175378	Clip4
uc008dna.2	chr17	+	71781946	71858351	NM_030179	Clip4
uc008dnb.1	chr17	-	71868987	72604307	NM_007439	Alk
uc008dne.1	chr17	+	72836703	72851195	NM_027166	Ypel5
uc008dnf.1	chr17	+	72837581	72851195	BC085109	Ypel5
uc008dng.2	chr17	+	72918304	72941946	NM_029999	Lbh
uc008dnh.2	chr17	+	73107984	73243366	NM_001081071	Lclat1
uc012awz.1	chr17	+	73107984	73243366	NM_001177968	Lclat1
uc012axa.1	chr17	+	73107984	73243366	NM_001177967	Lclat1
uc008dnj.1	chr17	-	73306463	73399296	NM_001033444	Capn13
uc033hfc.1	chr17	-	73315263	73383050	CCDS37690	Capn13
uc008dnk.2	chr17	-	73493750	73710451	NM_027864	Galnt14
uc008dnn.2	chr17	+	73804840	73832093	NM_020578	Ehd3
uc008dno.2	chr17	-	73883894	73950196	NM_011723	Xdh
uc008dnr.1	chr17	-	73897006	73909358	AK171642	Xdh
uc008dnt.1	chr17	-	74017705	74047916	NM_053188	Srd5a2
uc008dnu.2	chr17	-	74200699	74217118	AK159560	Memo1
uc012axb.1	chr17	-	74200699	74294863	NM_133771	Memo1
uc008dnw.2	chr17	-	74299473	74316211	NM_001146224	Dpy30
uc012axc.1	chr17	-	74299473	74316394	NM_001146222	Dpy30
uc008dnx.2	chr17	-	74299473	74316433	NM_001146223	Dpy30
uc008dny.2	chr17	-	74299473	74323944	NM_024428	Dpy30
uc008doa.2	chr17	+	74338986	74391113	NM_001162870	Spast
uc008dnz.2	chr17	+	74338986	74391113	NM_016962	Spast
uc008dob.2	chr17	+	74395607	74424229	NM_144798	Slc30a6
uc012axe.1	chr17	-	74426294	74448218	BC144861	Nlrc4
uc008doc.1	chr17	-	74426294	74459108	NM_001033367	Nlrc4
uc008dod.2	chr17	+	74489492	74500277	NM_026417	Yipf4
uc033hfd.1	chr17	+	74528294	74703356	NM_007566	Birc6
uc008dok.2	chr17	+	74717749	74863570	NM_152817	Ttc27
uc008dol.1	chr17	+	74718633	74863565	BC021912	Ttc27
uc008dom.2	chr17	+	75005528	75392967	NM_019919	Ltbp1
uc008don.2	chr17	+	75178809	75348933	AK036047	Ltbp1
uc008doo.2	chr17	+	75178809	75392967	NM_206958	Ltbp1
uc012axi.1	chr17	+	75435904	75529053	NM_001166493	Rasgrp3
uc008dop.2	chr17	+	75465537	75529053	NM_207246	Rasgrp3
uc008doq.1	chr17	-	75537085	75551946	NM_133747	Fam98a
uc008dos.1	chr17	+	75861022	75889039	NR_033456	Gm4710
uc008dou.2	chr17	+	78200247	78376592	NM_015800	Crim1
uc008dov.2	chr17	-	78377877	78418152	NM_199448	Fez2
uc008dox.2	chr17	+	78508062	78627409	NM_028813	Vit
uc012axj.1	chr17	+	78508062	78627409	NM_001197028	Vit
uc008doz.1	chr17	-	78653963	78688807	AK136032	Strn
uc008dpa.1	chr17	-	78653963	78736560	NM_011500	Strn
uc008dpb.1	chr17	-	78752905	78769018	AK141783	Heatr5b
uc008dpc.1	chr17	-	78752905	78835381	NM_001081179	Heatr5b
uc008dpd.1	chr17	-	78784342	78835381	AK146166	Heatr5b
uc008dpe.1	chr17	-	78811894	78835381	AK053037	Heatr5b
uc008dpf.2	chr17	+	78835515	78848308	NM_181649	Gpatch11
uc008dpg.1	chr17	-	78850504	78852544	NR_003363	Gm6548
uc008dph.2	chr17	-	78852549	78882572	NM_011163	Eif2ak2
uc012axk.1	chr17	-	78883937	78906992	NM_001163625	Sult6b1
uc008dpj.2	chr17	+	78916498	78921048	NM_001177402	Cebpzos
uc012axl.1	chr17	+	78916498	78921048	NM_001177403	Cebpzos
uc008dpk.1	chr17	-	78919002	78937070	NM_001024806	Cebpz
uc008dpm.2	chr17	+	78937134	78947367	BC108350	Ndufaf7
uc008dpn.2	chr17	+	78937134	78948052	NM_028611	Ndufaf7
uc008dpq.2	chr17	-	78949404	79008505	NM_001171005	Prkd3
uc008dpr.2	chr17	-	78949404	79020816	NM_029239	Prkd3
uc008dps.2	chr17	-	78949404	79020816	NM_001171004	Prkd3
uc008dpt.1	chr17	-	78969618	78985424	AK050059	Prkd3
uc008dpu.1	chr17	-	78972275	79008688	AK016167	Prkd3
uc008dpv.2	chr17	+	79051905	79090378	NM_027455	Qpct
uc008dpx.1	chr17	-	79334024	79355091	NM_026514	Cdc42ep3
uc033hff.1	chr17	-	79334724	79335489	CCDS28984	Cdc42ep3
uc012axm.1	chr17	-	79475623	79477885	NR_033463	4930429F11Rik
uc012axn.1	chr17	-	79506048	79510486	NR_033462	Gm10494
uc008dpy.1	chr17	+	79614899	79682152	NM_201361	Rmdn2
uc008dpz.1	chr17	+	79615061	79682152	AK139382	Rmdn2
uc012axo.1	chr17	+	79615061	79682152	BC024059	Rmdn2
uc008dqb.1	chr17	-	79706893	79715041	AK139368	Cyp1b1
uc008dqc.1	chr17	-	79706952	79715041	NM_009994	Cyp1b1
uc008dqe.2	chr17	-	79848389	79896123	NM_019717	Atl2
uc008dqf.2	chr17	-	79848389	79896123	NM_178050	Atl2
uc008dqk.2	chr17	-	80029486	80062268	NM_144802	Hnrnpll
uc008dqn.1	chr17	+	80127470	80139462	AK085153	Galm
uc008dqo.1	chr17	+	80127470	80185032	NM_176963	Galm
uc008dqp.1	chr17	-	80200079	80206857	AK045884	Srsf7
uc008dqr.2	chr17	-	80200079	80207305	NR_036615	Srsf7
uc008dqs.2	chr17	-	80200079	80207305	NM_001195485	Srsf7
uc008dqq.2	chr17	-	80200079	80207305	NM_146083	Srsf7
uc012axq.1	chr17	-	80200079	80207305	NM_001195486	Srsf7
uc012axr.1	chr17	-	80200079	80207305	NM_001195487	Srsf7
uc008dqt.2	chr17	-	80200079	80207305	BC014857	Srsf7
uc008dqu.2	chr17	+	80215913	80217936	NM_026351	Ttc39d
uc008dqv.1	chr17	+	80224488	80228497	NM_026053	Gemin6
uc008dqw.1	chr17	+	80224500	80228497	AK167680	Gemin6
uc008dra.2	chr17	-	80238303	80290476	NM_001163759	Dhx57
uc008dqz.2	chr17	-	80238303	80290476	NM_198942	Dhx57
uc008drb.1	chr17	-	80252400	80289813	AK053628	Dhx57
uc008drd.2	chr17	+	80290211	80297476	NM_194269	Morn2
uc008dre.3	chr17	+	80290211	80297476	BC037365	Morn2
uc012axs.1	chr17	+	80307406	80388689	NM_001145452	Arhgef33
uc008drf.2	chr17	+	80347539	80370419	AK053944	Arhgef33
uc012axt.1	chr17	-	80371856	80373542	NR_028385	Gm10190
uc008drg.1	chr17	-	80393751	80480453	NM_009231	Sos1
uc008drh.1	chr17	-	80405016	80480453	AK140310	Sos1
uc008dri.2	chr17	-	80523549	80563834	NM_001033443	Cdkl4
uc008drn.1	chr17	+	80944631	81001816	NM_026516	Tmem178
uc008drp.2	chr17	-	81026326	81065085	NM_028138	Thumpd2
uc008drs.2	chr17	-	81373104	81738387	NM_011406	Slc8a1
uc008drr.3	chr17	-	81373104	81738387	NM_001112798	Slc8a1
uc029tkw.1	chr17	-	83033591	83078225	NR_045094	Gm19689
uc012axu.1	chr17	+	83215282	83225069	NM_134117	Pkdcc
uc008drz.2	chr17	+	83350930	83480359	NM_001114361	Eml4
uc008dsb.2	chr17	+	83350930	83480359	NM_001114362	Eml4
uc008drx.2	chr17	+	83350930	83480359	NM_199466	Eml4
uc008dsa.2	chr17	+	83350930	83480359	DQ230326	Eml4
uc012axv.1	chr17	-	83501916	83514333	NM_001159529	Cox7a2l
uc008dsc.2	chr17	-	83501916	83514333	NM_009187	Cox7a2l
uc008dsd.1	chr17	-	83585956	83631895	NM_153512	Kcng3
uc008dse.1	chr17	-	83585956	83631895	AF454551	Kcng3
uc008dsf.2	chr17	+	83706162	83792877	NM_001171053	Mta3
uc008dsg.2	chr17	+	83706162	83792877	NM_001171054	Mta3
uc008dsh.2	chr17	+	83706162	83805422	NM_001171052	Mta3
uc012axw.1	chr17	+	83706162	83814905	NM_054082	Mta3
uc008dsk.1	chr17	-	83831353	83846790	NM_025325	Haao
uc008dsl.1	chr17	-	83837172	83846790	AK171228	Haao
uc029tkx.1	chr17	+	84078659	84089875	NR_045458	4933433H22Rik
uc008dsq.2	chr17	-	84183927	84187947	NM_001001806	Zfp36l2
uc008dss.2	chr17	-	84190055	84368767	BC052885	Thada
uc012axy.1	chr17	-	84190055	84466208	NM_183021	Thada
uc008dst.1	chr17	-	84270306	84435710	AK173258	Thada
uc008dsv.1	chr17	+	84511894	84572055	BC021518	Plekhh2
uc008dsw.2	chr17	+	84511894	84622142	NM_177606	Plekhh2
uc012axz.1	chr17	+	84511894	84622142	BC137804	Plekhh2
uc008dsx.2	chr17	+	84596181	84622142	AK086794	Plekhh2
uc008dsy.1	chr17	+	84626498	84655564	NM_172256	Dync2li1
uc008dsz.2	chr17	-	84658173	84683011	NM_031884	Abcg5
uc008dta.2	chr17	+	84683120	84700333	NM_026180	Abcg8
uc008dtc.1	chr17	-	84705246	84790786	NM_028233	Lrpprc
uc008dtd.2	chr17	-	84917181	84957710	NR_027929	1110020A21Rik
uc012ayc.1	chr17	-	84954966	84957710	NR_027930	1110020A21Rik
uc012ayd.1	chr17	+	84956740	85023992	NM_001159497	Ppm1b
uc008dtf.2	chr17	+	84958000	85005719	D17412	Ppm1b
uc008dtg.2	chr17	+	84958000	85014776	NM_001159496	Ppm1b
uc008dth.2	chr17	+	84958000	85017128	NM_011151	Ppm1b
uc008dti.2	chr17	+	84958000	85023992	D45860	Ppm1b
uc008dtj.2	chr17	+	84965032	85023992	AK077136	Ppm1b
uc012aye.1	chr17	+	84974019	85023992	NM_001159498	Ppm1b
uc008dtk.2	chr17	+	84993679	85023992	D45861	Ppm1b
uc008dtl.1	chr17	+	85028346	85064241	NM_009205	Slc3a1
uc008dtm.2	chr17	-	85063476	85077474	AK129142	Prepl
uc008dtn.2	chr17	-	85063476	85090267	NM_145984	Prepl
uc008dto.2	chr17	-	85063476	85090267	NM_001163622	Prepl
uc008dtp.2	chr17	-	85063476	85090267	NM_001163623	Prepl
uc008dtq.2	chr17	-	85063476	85090274	NM_001163624	Prepl
uc008dtr.2	chr17	-	85078058	85090267	AK163108	Prepl
uc008dtt.1	chr17	+	85090699	85458580	NM_028576	Camkmt
uc029tky.1	chr17	-	85601931	85618396	NR_038085	Six3os1
uc008dtw.3	chr17	-	85607357	85618396	NR_015387	Six3os1
uc008dtx.3	chr17	-	85609089	85618396	NR_038083	Six3os1
uc029tkz.1	chr17	-	85609089	85618396	NR_038082	Six3os1
uc029tla.1	chr17	-	85609089	85618396	NR_038086	Six3os1
uc008dty.3	chr17	-	85609089	85618396	NR_038084	Six3os1
uc029tlb.1	chr17	-	85609089	85618396	NR_015385	Six3os1
uc012ayg.2	chr17	-	85609089	85618396	NR_015386	Six3os1
uc057bjz.1	chr17	+	85620580	85622345	D83144	Six3
uc008dub.2	chr17	+	85620833	85626191	NM_011381	Six3
uc033hfi.1	chr17	+	85620833	85629302	BC094426	Six3
uc008duc.2	chr17	-	85684267	85688254	NM_011380	Six2
uc012ayj.1	chr17	-	85984664	86040364	BC172066	Srbd1
uc008due.2	chr17	-	85984664	86145175	NM_030133	Srbd1
uc008dug.2	chr17	+	86167784	86657919	NM_011104	Prkce
uc008duh.2	chr17	+	86168173	86657919	AK085351	Prkce
uc029tlc.1	chr17	-	86285166	86287178	NR_045435	2010106C02Rik
uc008duj.2	chr17	+	86753863	86833410	NM_010137	Epas1
uc008duk.2	chr17	+	86917347	86922367	NM_030104	Tmem247
uc008dul.1	chr17	-	86944108	86947887	NM_029121	Atp6v1e2
uc033hfk.1	chr17	-	86944287	86944968	CCDS29009	Atp6v1e2
uc008dum.1	chr17	+	86963110	87000069	NM_145491	Rhoq
uc008dun.1	chr17	-	86997258	87025401	NM_008838	Pigf
uc008duo.2	chr17	+	87025560	87035808	NM_019936	Cript
uc008dup.2	chr17	+	87107678	87137588	NM_019654	Socs5
uc008duq.2	chr17	+	87107678	87137588	AK135099	Socs5
uc033hfl.1	chr17	+	87133633	87135244	CCDS29014	Socs5
uc008dus.2	chr17	-	87254442	87265947	NM_176808	Mcfd2
uc008dur.2	chr17	-	87254442	87265947	NM_139295	Mcfd2
uc008dut.1	chr17	-	87274885	87282814	NR_015506	4833418N02Rik
uc008duu.1	chr17	+	87282885	87371904	AK153704	Ttc7
uc008duv.2	chr17	+	87282885	87381770	NM_028639	Ttc7
uc008duw.2	chr17	-	87389570	87427741	NM_029298	1700011E24Rik
uc008dux.2	chr17	-	87433400	87446935	NM_007589	Calm2
uc008duy.1	chr17	+	87635978	87651127	NM_008532	Epcam
uc008dva.1	chr17	+	87672556	87709408	AK051960	Msh2
uc008dvb.1	chr17	+	87672556	87723713	NM_008628	Msh2
uc008dvc.1	chr17	-	87745820	87797994	NM_199251	Kcnk12
uc008dvd.2	chr17	+	87975049	87990892	NM_010830	Msh6
uc008dvh.1	chr17	-	87990858	88065285	NM_001081034	Fbxo11
uc008dvi.1	chr17	-	87990858	88065285	BC110686	Fbxo11
uc012ayn.1	chr17	+	88125511	88131116	NM_001190356	Gm4832
uc008dvk.2	chr17	+	88440711	88478069	BC138825	Foxn2
uc008dvn.2	chr17	+	88440711	88490533	NM_180974	Foxn2
uc008dvo.2	chr17	+	88530123	88588367	NM_028658	Ppp1r21
uc008dvq.2	chr17	+	88626554	88637634	AK077966	Ston1
uc012ayo.1	chr17	+	88626554	88645724	NM_029858	Ston1
uc008dvr.2	chr17	+	88626554	88648696	AK029959	Ston1
uc008dvs.2	chr17	+	88626554	88662586	AK029878	Ston1
uc008dvt.2	chr17	+	88668659	88715150	NM_023630	Gtf2a1l
uc008dvw.1	chr17	-	88741548	88791976	NM_013582	Lhcgr
uc008dvx.1	chr17	-	88984951	89200675	NM_013523	Fshr
uc029tlg.1	chr17	+	89320226	89327333	NR_045432	4933400B14Rik
uc008dwa.2	chr17	-	90033643	90704367	BC047146	Nrxn1
uc033hfm.1	chr17	-	90033643	91089605	CCDS57113	Nrxn1
uc008dvz.2	chr17	-	90033643	91092802	NM_020252	Nrxn1
uc012ayq.1	chr17	-	90033643	91092802	NM_177284	Nrxn1
uc008dwb.1	chr17	-	90208287	90704367	AK137407	Nrxn1
uc008dwc.1	chr17	-	90535205	91089605	AK133271	Nrxn1
uc029tli.1	chr17	+	90861168	90867102	NR_045463	4930480K15Rik
uc008dwj.2	chr17	+	93199167	93206537	NM_009625	Adcyap1
uc008dwk.1	chr17	-	94727079	94749892	NM_176917	Mettl4
uc008dwl.1	chr17	-	94727079	94750019	BC099943	Mettl4
uc008dwp.2	chr17	+	94750099	94775129	NR_024720	2700099C18Rik
uc008dxj.1	chr18	-	3122491	3123412	NM_001167539	Vmn1r238
uc008dxk.3	chr18	-	3266353	3281747	NM_001110854	Crem
uc008dxl.3	chr18	-	3266353	3281747	NM_001110855	Crem
uc008dxm.3	chr18	-	3266353	3299556	NM_001110853	Crem
uc008dxv.3	chr18	-	3287631	3299556	AK015641	Crem
uc008dxu.2	chr18	-	3266353	3327591	NR_073193	Crem
uc033hfr.1	chr18	-	3266353	3327591	NM_001110857	Crem
uc033hfn.1	chr18	-	3266353	3327591	NM_001110859	Crem
uc033hfp.1	chr18	-	3266353	3327591	NM_001110856	Crem
uc033hfs.1	chr18	-	3266353	3327591	NM_001110850	Crem
uc033hfo.1	chr18	-	3266353	3327591	NM_001110858	Crem
uc033hfq.1	chr18	-	3266353	3327591	NM_013498	Crem
uc008dxw.2	chr18	-	3294165	3337589	NM_001110851	Crem
uc008dxx.2	chr18	-	3294165	3337589	NM_001110852	Crem
uc008dxy.2	chr18	+	3336415	3366863	NR_033457	Gm6225
uc008dxz.2	chr18	+	3383030	3436700	AK016520	Cul2
uc008dya.2	chr18	+	3383224	3436700	NM_029402	Cul2
uc008dyc.1	chr18	+	3507956	3516404	NM_026505	Bambi
uc008dyd.1	chr18	+	4165831	4182236	NM_026092	Lyzl1
uc008dye.1	chr18	-	4331326	4352953	NM_007746	Map3k8
uc008dyg.2	chr18	+	4353546	4368945	NR_040328	4833419F23Rik
uc008dyi.1	chr18	+	4375591	4397330	NM_026157	Mtpap
uc008dyl.1	chr18	+	4634928	4682869	NM_001081963	9430020K01Rik
uc012ayy.1	chr18	+	4649067	4682869	BC144919	9430020K01Rik
uc008dyr.2	chr18	+	5046588	5119293	NM_153153	Svil
uc012aza.1	chr18	+	5046588	5119293	HQ259291	Svil
uc008dyt.2	chr18	-	5210030	5334439	NM_178722	Zfp438
uc008dyv.2	chr18	-	5491500	5592437	NR_033552	Gm10125
uc008dyz.1	chr18	+	5594202	5768025	AK140038	Zeb1
uc008dyy.2	chr18	+	5591859	5775468	NM_011546	Zeb1
uc008dzb.1	chr18	-	6024449	6061972	BC024633	Arhgap12
uc008dze.1	chr18	-	6061846	6135955	AK012717	Arhgap12
uc008dzc.1	chr18	-	6024449	6136098	NM_001039692	Arhgap12
uc008dzd.1	chr18	-	6024449	6136098	NM_029277	Arhgap12
uc008dzg.1	chr18	-	6213445	6224075	AK085221	Kif5b
uc008dzf.2	chr18	-	6201004	6241524	NM_008448	Kif5b
uc012azb.1	chr18	-	6490563	6490646	NR_035446	Mir1893
uc008dzi.2	chr18	-	6435950	6490857	NM_027497	Epc1
uc008dzj.2	chr18	-	6435950	6516108	NM_007935	Epc1
uc008dzm.2	chr18	+	6603632	6638966	NM_027598	4921524L21Rik
uc012azc.1	chr18	+	6603632	6638966	BC049627	4921524L21Rik
uc008dzo.2	chr18	+	6765166	6791606	NM_181070	Rab18
uc008dzp.2	chr18	-	6934965	7004779	NM_177595	Mkx
uc008dzq.1	chr18	-	7088232	7297901	NM_001081393	Armc4
uc008dzr.2	chr18	-	7088232	7297932	BC158097	Armc4
uc008dzw.1	chr18	-	7436072	7608982	AK017344	Mpp7
uc008dzu.1	chr18	-	7399142	7626859	AK036956	Mpp7
uc008dzx.1	chr18	-	7438828	7626859	AK033081	Mpp7
uc008dzy.1	chr18	-	7443807	7626859	AK050710	Mpp7
uc008dzs.2	chr18	-	7347961	7626863	NM_001081287	Mpp7
uc008dzt.1	chr18	-	7379648	7626863	NM_001161620	Mpp7
uc008dzv.1	chr18	-	7403185	7626863	BC049662	Mpp7
uc008eaf.1	chr18	+	7869715	7916297	AK087826	Wac
uc008eac.3	chr18	+	7868831	7929028	BC020146	Wac
uc008ead.3	chr18	+	7869196	7929028	NM_153085	Wac
uc008eae.3	chr18	+	7869196	7929028	NM_001146298	Wac
uc008eag.2	chr18	+	9212855	9216201	NM_008058	Fzd8
uc008eah.1	chr18	-	9278606	9282809	NM_153086	Gjd4
uc008eai.1	chr18	-	9314043	9450150	NM_026484	Ccny
uc012azd.1	chr18	-	9314043	9450150	BC035524	Ccny
uc012aze.1	chr18	-	9618418	9619469	NM_007593	Cetn1
uc008eaj.1	chr18	-	9615524	9619478	AK076986	Cetn1
uc008eak.2	chr18	+	9707647	9877995	NM_130449	Colec12
uc008eal.1	chr18	+	9958179	9995484	NM_153552	Thoc1
uc008ean.1	chr18	-	9993614	10030149	NM_021522	Usp14
uc008eao.1	chr18	-	9993614	10030149	NM_001038589	Usp14
uc008eap.1	chr18	-	10009352	10030149	AK160215	Usp14
uc008eaq.1	chr18	-	10064400	10181792	NM_009071	Rock1
uc008ear.1	chr18	-	10106321	10181792	BC057154	Rock1
uc008eat.1	chr18	+	10325178	10562941	NM_001083628	Greb1l
uc008eav.1	chr18	-	10566511	10610352	NM_001081222	Esco1
uc008eay.1	chr18	-	10566511	10610352	AK145870	Esco1
uc008eaw.1	chr18	-	10566511	10610352	AK040576	Esco1
uc008eax.1	chr18	-	10566511	10610352	AK049589	Esco1
uc008eaz.1	chr18	+	10617795	10628230	NM_009226	Snrpd1
uc008eba.1	chr18	-	10644410	10706696	NM_134130	Abhd3
uc029tlr.1	chr18	+	10706859	10711832	NR_045379	4930563E18Rik
uc008ebb.1	chr18	+	10725624	10755699	AK139338	Mib1
uc012azf.1	chr18	-	10782908	10782976	NR_029547	Mir133a-1
uc008ebe.2	chr18	-	10785480	10785552	NR_029781	Mir1a-2
uc012azg.1	chr18	+	10785445	10785567	NR_035413	Mir1b
uc008ebc.1	chr18	+	10725624	10812217	NM_144860	Mib1
uc008ebd.1	chr18	+	10760803	10818704	AK053035	Mib1
uc008ebj.1	chr18	+	11052509	11057583	AK053151	Gata6
uc008ebk.1	chr18	+	11052509	11085635	NM_010258	Gata6
uc008ebo.2	chr18	+	11657348	11743207	NM_001081223	Rbbp8
uc008ebq.1	chr18	-	11821087	11839377	NR_045421	Gm6277
uc012azj.1	chr18	-	11840360	11840438	NR_035447	Mir1901
uc008ebr.2	chr18	+	11839273	11945627	NM_001146287	Cables1
uc012azi.1	chr18	+	11839273	11945627	NM_022021	Cables1
uc008ebw.2	chr18	-	11981302	12121537	NM_178801	Tmem241
uc008ebx.2	chr18	-	12066183	12121537	AK051727	Tmem241
uc008eby.1	chr18	+	12128849	12157367	NM_024182	Riok3
uc008ebz.1	chr18	+	12168729	12181116	AK010309	3110002H16Rik
uc008eca.1	chr18	+	12168729	12189969	NM_029623	3110002H16Rik
uc008ecb.1	chr18	-	12189693	12236386	NM_008720	Npc1
uc008ecd.2	chr18	-	12252356	12305720	NM_001190371	Ankrd29
uc008ecg.1	chr18	+	12504198	12547461	AK138740	Lama3
uc008ecf.2	chr18	+	12334023	12583012	NM_010680	Lama3
uc008ech.1	chr18	+	12504198	12583012	X84013	Lama3
uc012azl.1	chr18	+	12714810	12714895	NR_035471	Mir1948
uc008ecj.2	chr18	+	12643532	12737052	NM_028341	Ttc39c
uc008eck.1	chr18	+	12741354	12755142	NM_181731	Cabyr
uc008ecl.1	chr18	+	12741354	12755142	NM_001042419	Cabyr
uc008ecm.1	chr18	+	12741354	12755142	NM_027687	Cabyr
uc008ecn.1	chr18	+	12741354	12755142	NM_001042418	Cabyr
uc008eco.1	chr18	+	12741354	12755142	NM_001042420	Cabyr
uc008ecu.2	chr18	-	12755311	12941841	NM_207530	Osbpl1a
uc008ecy.2	chr18	-	12870217	12941841	AK090069	Osbpl1a
uc008ecz.2	chr18	-	12898116	12941841	BC031735	Osbpl1a
uc008eda.1	chr18	+	12972251	12992948	NM_008378	Impact
uc008edb.1	chr18	+	13006989	13022882	NM_153087	Hrh4
uc012azq.1	chr18	-	13687015	13847134	AK081096	Zfp521
uc008edc.1	chr18	-	13687358	13971720	AK131130	Zfp521
uc008edd.2	chr18	-	13687013	13972733	NM_145492	Zfp521
uc029tlu.1	chr18	+	14232305	14278542	NR_045373	8430422H06Rik
uc008ede.1	chr18	-	14625628	14682914	NM_009280	Ss18
uc008edg.1	chr18	-	14625628	14682914	NM_001161370	Ss18
uc008edf.1	chr18	-	14625628	14682914	NM_001161369	Ss18
uc008edh.1	chr18	-	14625628	14682914	NM_001161371	Ss18
uc008edi.1	chr18	-	14638969	14682914	AK039430	Ss18
uc008edj.2	chr18	+	14706150	14762299	NM_001163609	Psma8
uc008edl.2	chr18	+	14783244	14900359	NM_001100449	Taf4b
uc029tlv.1	chr18	+	14988994	15047987	NR_045372	4933424G05Rik
uc008edn.2	chr18	-	14968684	15063582	NM_001142731	Kctd1
uc008edp.2	chr18	-	14982720	15063582	AK054557	Kctd1
uc008edo.1	chr18	-	14968684	15151446	NM_134112	Kctd1
uc008eds.3	chr18	-	15389393	15403758	NM_009700	Aqp4
uc008edv.1	chr18	-	15452174	15718124	NM_199055	Chst9
uc008edx.3	chr18	-	16588876	16809246	NM_007664	Cdh2
uc029tlx.1	chr18	+	16816406	16822783	NR_045399	Gm15328
uc012bac.1	chr18	-	17234482	17235482	NR_033607	4921533I20Rik
uc029tly.1	chr18	-	17568745	17580990	NR_045374	4930545E07Rik
uc008eeb.1	chr18	-	19960929	20002097	NM_007882	Dsc3
uc008eed.2	chr18	-	20030632	20059554	NM_013505	Dsc2
uc008eeg.3	chr18	-	20083470	20114773	NM_013504	Dsc1
uc008eei.2	chr18	-	20087645	20114773	AK036893	Dsc1
uc008eej.1	chr18	+	20247339	20275219	AY314983	Dsg1c
uc008eek.2	chr18	+	20247339	20285031	NM_181680	Dsg1c
uc008eel.2	chr18	+	20310872	20343353	NM_010079	Dsg1a
uc008eem.2	chr18	+	20376728	20412183	NM_181682	Dsg1b
uc008eeo.1	chr18	+	20454656	20462699	AY170623	Dsg4
uc008een.1	chr18	+	20436174	20471821	NM_181564	Dsg4
uc008eep.2	chr18	+	20510273	20541310	NM_030596	Dsg3
uc008eer.2	chr18	+	20558073	20585552	BC044848	Dsg2
uc008ees.3	chr18	+	20558073	20604526	NM_007883	Dsg2
uc008eet.2	chr18	+	20665249	20674326	NM_013697	Ttr
uc008eeu.2	chr18	-	20684598	20746404	NM_019737	B4galt6
uc008eex.1	chr18	-	20846144	20856767	AK041615	Trappc8
uc012bad.1	chr18	-	20817223	20896078	NM_177038	Trappc8
uc008eey.1	chr18	-	20846144	20896078	NM_029491	Trappc8
uc008eez.1	chr18	+	20944624	20983848	NM_026301	Rnf125
uc008efa.1	chr18	+	20961471	20983848	AB259692	Rnf125
uc008efc.2	chr18	+	21001299	21028224	NM_019706	Rnf138
uc056zfx.1	chr18	+	21001956	21028224	NM_207623	Rnf138
uc008eff.1	chr18	+	21072343	21100199	NM_008586	Mep1b
uc008efg.1	chr18	-	21127341	21300139	NM_001033445	Garem
uc008efi.1	chr18	-	21550376	21652368	NM_001081403	Klhl14
uc012baf.1	chr18	-	21810896	22166536	BC145069	Ccdc178
uc012bag.1	chr18	-	21810896	22166536	BC145066	Ccdc178
uc008efk.1	chr18	-	21810896	22171396	NM_027616	Ccdc178
uc008efl.1	chr18	-	22020821	22171396	AK014977	Ccdc178
uc008efm.2	chr18	+	22345088	22530227	NM_001167777	Asxl3
uc008efo.2	chr18	-	22693154	22850754	AK086574	Nol4
uc008efp.2	chr18	-	22693154	22850754	AK029800	Nol4
uc008efq.2	chr18	-	22693154	23038663	NM_001161483	Nol4
uc008efr.2	chr18	-	22693154	23041653	NM_199024	Nol4
uc008efu.2	chr18	+	23415408	23604231	NM_010087	Dtna
uc008efs.2	chr18	+	23310019	23634426	X95227	Dtna
uc008efy.2	chr18	+	23415408	23659719	NM_207650	Dtna
uc008egb.2	chr18	+	23497481	23659719	X95226	Dtna
uc008egc.2	chr18	+	23621957	23659719	BC050765	Dtna
uc008egd.1	chr18	+	23752332	23860637	AK168834	Mapre2
uc012bah.1	chr18	+	23752332	23893861	NM_001162942	Mapre2
uc008ege.2	chr18	+	23753724	23893861	NM_001162941	Mapre2
uc008egf.2	chr18	+	23803969	23893861	NM_153058	Mapre2
uc008egh.1	chr18	+	23954687	23964670	NM_027007	Zfp397
uc008egk.1	chr18	+	23989633	24005371	NM_011755	Zfp35
